project,codigo,fecha_encuesta,nombre_del_evaluador,genero_del_evaluador,interview_modality,nacionalidad,gender,follow_up,hh_language,document,interview_language,children,seniors,dependents,adults,time_in_country,date_of_arrival,d1a_housing_score,d1b_rent_score,d2_food_score,d3_education_score,d4_healthcare_score,d5_health_status_score,d6_safety_score,d7_employment_score,d8_fin_resources_score,d9_assistance_score,d10_debt_score,d11_savings_score,d12a_fin_soc_cap_score,d12b_rel_soc_cap_score,d12_average_score,group_a_total_score,d2_weighted_score,d5_weighted_score,d9_weighted_score,group_b_total_score,hh_sri_total_score,uuid,program_type,count,position,days_since_pre,measure_prop,in_program,fecha_post,sri_post,time_period,sri_change
prm,ec0075392,2022-02-01T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Visa Humanitaria,Español,5,0,5,2,1 - 3 Years,2019-08-22T00:00:00Z,4,1,5,3,0,3,3,5,3,3,3,1,5,5,5,3.111111111111111,0,0,0.4,0.4,2.7111111111111112,7392927a-2809-4b42-8789-fdbcd358954d,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-04T00:00:00Z,3.6111111111111107,92,0.8999999999999995
prm,ec0075677,2022-01-25T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Colombiana,Masculino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,1 - 3 Years,2020-01-07T00:00:00Z,3,0,5,5,3,3,3,3,5,3,3,1,5,1,3,3.2222222222222223,0,0,0.4,0.4,2.8222222222222224,24efeb60-4fff-4166-9958-ff1d95bcc0a0,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-21T00:00:00Z,3.0666666666666664,86,0.24444444444444402
prm,ec0076196,2022-02-10T00:00:00Z,bethzabe sanchez,Femenino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,1,1 - 3 Years,2020-02-24T00:00:00Z,4,1,5,1,5,2,3,1,1,3,3,3,1,5,3,2.5,0,0.1,0.4,0.5,2,f873c439-67e1-4836-bf9d-369df17ebde6,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,1.9555555555555553,67,-0.04444444444444473
prm,ec0076817,2022-01-31T00:00:00Z,cecilia aulestia,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Pasaporte,Español,1,0,1,2,1 - 3 Years,2018-12-02T00:00:00Z,5,1,5,5,1,3,3,4,3,3,3,1,5,3,4,3,0,0,0.4,0.4,2.6,b4570de4-12c2-43f2-b8f3-bd3a4ece140f,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.2888888888888888,95,0.6888888888888887
prm,ec0077126,2022-02-01T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Visa Humanitaria,Español,1,0,2,NA,1 - 3 Years,2019-11-22T00:00:00Z,5,3,3,5,3,1,3,3,5,3,5,1,1,3,2,3.5,0.3,0.2,0.4,0.9,2.6,8e33877f-87bc-4937-a0db-8da668efcd29,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.1999999999999997,93,0.5999999999999996
prm,ec0078736,2022-01-24T00:00:00Z,olivia nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,1,2,1,1 - 3 Years,2019-08-15T00:00:00Z,5,1,3,5,3,1,3,4,1,5,3,3,5,1,3,3.1,0.3,0.2,0,0.5,2.6,dd9d9e67-78e9-437f-aa58-5bb57ea87fc0,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-24T00:00:00Z,3.6,90,1
hilton,ec0079354,2021-12-05T00:00:00Z,pamela veliz,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Ningún documento,Español,3,1,4,2,< 1 Year,2021-03-23T00:00:00Z,4,1,5,5,3,3,3,4,3,3,2,3,5,5,5,3.3,0,0,0.4,0.4,2.9,f60086cf-1031-496b-9685-3557ca95383a,NA,2,1,0,0.5,TRUE,2022-06-18T00:00:00Z,3.4,195,0.5
hilton,ec0079747,2021-11-24T00:00:00Z,john ycaza,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,2,1 – 3 Years,2019-07-30T00:00:00Z,5,5,5,1,0,3,3,2,5,3,3,1,5,5,5,3.3333333333333335,0,0,0.4,0.4,2.9333333333333336,31084b65-6f17-4a85-b051-328e2fbc190d,NA,2,1,0,0.5,TRUE,2022-06-20T00:00:00Z,3.6,208,0.6666666666666665
prm,ec0079831,2022-01-25T00:00:00Z,arelis torres,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,3,0,3,2,1 - 3 Years,2017-08-24T00:00:00Z,4,3,5,5,3,3,3,4,3,3,3,1,5,3,4,3.3,0,0,0.4,0.4,2.9,f17a174c-c5f4-44bc-9644-cbdf6f8b8644,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.2666666666666666,94,0.3666666666666667
prm,ec0079850,2022-02-01T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,NA,NA,3,1 - 3 Years,2020-01-28T00:00:00Z,4,1,3,0,3,2,3,3,3,3,3,1,1,3,2,2.5555555555555554,0.3,0.1,0.4,0.8,1.7555555555555553,96d71788-8888-431a-9f69-30c5a1b56d70,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.125,93,1.3694444444444447
prm,ec0080049,2022-01-25T00:00:00Z,arelis torres,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,2,0,2,2,3 - 5 Years,2017-06-17T00:00:00Z,5,1,5,5,0,3,3,3,3,5,3,1,1,5,3,3,0,0,0,0,3,75f894eb-6e31-442d-8e9c-8520a243afc7,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-28T00:00:00Z,3.3000000000000003,93,0.30000000000000027
hilton,ec0080214,2021-11-15T00:00:00Z,john ycaza,Masculino,NA,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,2,0,2,1,3 – 5 Years,2020-12-26T00:00:00Z,4,3,5,5,3,3,3,3,5,2,3,3,1,3,2,3.4,0,0,0.6000000000000001,0.6000000000000001,2.8,b94c07d6-3fbb-4806-8469-5815f38cf3b7,NA,2,1,0,0.5,TRUE,2022-06-23T00:00:00Z,3.8222222222222224,220,1.0222222222222226
hilton,ec0080226,2021-10-28T00:00:00Z,hector bravo mendoza,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de Unasur,Español,1,0,1,1,3 – 5 Years,2018-12-01T00:00:00Z,4,1,5,5,3,1,3,5,5,2,2,3,5,3,4,3.5,0,0.2,0.6000000000000001,0.8,2.7,83fc979c-5af1-4920-8007-8c3fb0320c93,NA,2,1,0,0.5,TRUE,2022-06-23T00:00:00Z,3.6,238,0.8999999999999999
prm,ec0080533,2022-02-01T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,3,0,3,1,1 - 3 Years,2017-07-21T00:00:00Z,5,3,3,5,3,3,3,1,5,5,2,1,1,5,3,3.1,0.3,0,0,0.3,2.8000000000000003,87ece229-3333-4dfb-beb8-cc882e591ad8,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.4999999999999996,94,0.6999999999999993
hilton,ec0080565,2021-11-22T00:00:00Z,raul enrique calderon mero,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,< 1 Year,2018-05-12T00:00:00Z,4,1,3,0,3,3,3,3,3,5,2,1,5,3,4,2.6666666666666665,0.3,0,0,0.3,2.3666666666666667,9b1ccee4-0e8f-4b77-aa5e-ee62b3d1ed35,NA,2,1,0,0.5,TRUE,2022-06-21T00:00:00Z,3.4,211,1.0333333333333332
hilton,ec0080578,2021-12-01T00:00:00Z,darlin alejandro alonzo veliz,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de Unasur,Español,2,0,2,2,3 – 5 Years,2019-07-25T00:00:00Z,4,1,3,5,3,3,3,5,3,5,3,1,5,3,4,3.2,0.3,0,0,0.3,2.9000000000000004,d1b25da9-d16b-404a-9e75-a7e2f972877f,NA,2,1,0,0.5,TRUE,2022-06-14T00:00:00Z,3.8222222222222224,195,0.922222222222222
hilton,ec0080636,2021-10-28T00:00:00Z,hector bravo mendoza,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,3,0,4,3,3 – 5 Years,2018-03-30T00:00:00Z,4,0,3,5,3,3,5,2,3,3,2,1,1,3,2,3,0.3,0,0.4,0.7,2.3,9b815e4a-2a0f-4e7a-b776-a54a5b4b7492,NA,2,1,0,0.5,TRUE,2022-06-15T00:00:00Z,3.711111111111111,230,1.411111111111111
hilton,ec0080645,2021-11-17T00:00:00Z,darlin alejandro alonzo veliz,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa Humanitaria,Español,3,0,3,1,3 – 5 Years,2018-06-23T00:00:00Z,5,1,2,5,3,1,3,3,3,5,2,1,1,5,3,2.9,0.44999999999999996,0.2,0,0.6499999999999999,2.25,259492e7-80a0-4566-a9c3-c680c0928c2c,NA,2,1,0,0.5,TRUE,2022-06-22T00:00:00Z,3.6999999999999997,217,1.4499999999999997
hilton,ec0081850,2021-11-18T00:00:00Z,darlin alejandro alonzo veliz,Masculino,Vía telefónica,Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,1,0,1,2,1 – 3 Years,2020-07-07T00:00:00Z,4,1,2,5,3,3,5,2,3,5,3,1,1,1,1,2.8,0.44999999999999996,0,0,0.44999999999999996,2.3499999999999996,52a22ec8-c854-467c-a78f-4dc1a966e9c0,NA,2,1,0,0.5,TRUE,2022-06-24T00:00:00Z,3.3000000000000003,218,0.9500000000000006
hilton,ec0081878,2021-12-01T00:00:00Z,arelis torres,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,2,< 1 Year,2020-02-22T00:00:00Z,4,1,5,5,5,2,3,2,3,5,2,3,1,5,3,3.1,0,0.1,0,0.1,3,48c9bd73-c7eb-42d4-8c50-fe89b9c78722,NA,2,1,0,0.5,TRUE,2022-06-16T00:00:00Z,4,197,1
prm,ec0083024,2022-01-31T00:00:00Z,kerly montero,Femenino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,1,0,1,1,3 - 5 Years,2017-12-12T00:00:00Z,4,3,5,5,1,1,5,1,1,5,3,1,1,5,3,2.7,0,0.2,0,0.2,2.5,9829000f-4086-471c-9856-aab6192ab0d3,MDG Regular,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.5,94,1
hilton,ec0083281,2021-12-07T00:00:00Z,raul enrique calderon mero,Masculino,Presencial,Venezolana,Femenino,NA,Español,Pasaporte,Español,3,1,4,1,1 – 3 Years,2019-05-19T00:00:00Z,4,1,3,5,3,2,3,3,1,5,2,1,1,3,2,2.5,0.3,0.1,0,0.4,2.1,b12d298a-7676-4d85-ad58-302e318ea5bc,NA,2,1,0,0.5,TRUE,2022-06-24T00:00:00Z,3,199,0.8999999999999999
hilton,ec0083431,2021-12-03T00:00:00Z,john ycaza,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Ningún documento,Español,1,0,1,1,3 – 5 Years,2019-04-10T00:00:00Z,5,3,5,5,0,3,3,2,3,5,3,1,1,1,1,2.888888888888889,0,0,0,0,2.888888888888889,c0794514-df73-4061-b738-9652bc4e598a,NA,2,1,0,0.5,TRUE,2022-06-23T00:00:00Z,3.711111111111111,202,0.822222222222222
hilton,ec0083978,2021-12-14T00:00:00Z,mishell yanez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,NA,NA,1,3 – 5 Years,2017-12-17T00:00:00Z,4,3,5,5,3,3,3,2,3,5,2,1,1,1,1,2.7,0,0,0,0,2.7,abd54cd5-75ea-415b-b03e-05b3b0228cdd,NA,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.711111111111111,136,1.0111111111111106
prm,ec0084054,2022-01-31T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,NA,NA,1,1 - 3 Years,2019-03-09T00:00:00Z,4,3,3,5,1,3,1,3,3,1,2,1,1,3,2,2.5,0.3,0,0.8,1.1,1.4,5b3e0f49-2012-413c-b72e-412197f720db,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.1,94,1.7000000000000002
prm,ec0084209,2022-01-31T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Visa de excepción (VERHU),Español,1,1,NA,1,3 - 5 Years,2017-06-27T00:00:00Z,4,1,2,5,3,2,3,3,5,5,2,1,1,3,2,2.9,0.44999999999999996,0.1,0,0.5499999999999999,2.35,78d41fdf-6f77-424c-ab43-777df638967d,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-04T00:00:00Z,3.1,93,0.75
hilton,ec0085388,2021-11-18T00:00:00Z,hector bravo mendoza,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,1,0,1,2,1 – 3 Years,2019-04-05T00:00:00Z,5,3,3,1,3,1,3,5,5,5,3,1,5,5,5,3.4,0.3,0.2,0,0.5,2.9,648c293d-9fb6-42dd-aed2-ffb55cce29be,NA,2,1,0,0.5,TRUE,2022-06-15T00:00:00Z,3.2888888888888888,209,0.38888888888888884
prm,ec0087389,2022-01-28T00:00:00Z,darlin alejandro alonzo veliz,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,1,0,1,1,1 - 3 Years,2018-08-18T00:00:00Z,4,1,2,0,3,1,5,2,3,5,3,1,5,5,5,3,0.44999999999999996,0.2,0,0.6499999999999999,2.35,db1091b1-a24e-482c-8b16-0c83d496d82d,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-26T00:00:00Z,3.0444444444444447,88,0.6944444444444446
prm,ec0087571,2022-02-01T00:00:00Z,jetzabeth molina,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,3 - 5 Years,2018-07-21T00:00:00Z,4,1,5,5,3,3,3,2,3,3,2,3,5,5,5,3.1,0,0,0.4,0.4,2.7,eb1768fb-5112-476d-a8a6-7e30610fd7d5,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-12T00:00:00Z,3,70,0.2999999999999998
hilton,ec0087894,2021-11-17T00:00:00Z,patricio jacome,Masculino,"Por Skype, Zoom u otra plataforma",Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía Otro / No aplica,Español,5,0,5,2,1 – 3 Years,2019-08-25T00:00:00Z,4,1,5,1,3,1,1,3,5,5,3,1,1,3,2,2.4,0,0.2,0,0.2,2.1999999999999997,f7e30d4b-9796-45da-9a4d-c44cde5322c3,NA,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.0444444444444447,163,0.844444444444445
prm,ec0088106,2022-01-26T00:00:00Z,patricio jacome,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Otro / No aplica,Español,3,1,4,1,1 - 3 Years,2019-07-07T00:00:00Z,4,3,5,5,5,3,3,3,3,3,3,1,1,3,2,3.2,0,0,0.4,0.4,2.8000000000000003,bf3ca627-2595-477d-ba9b-fe20c9f95755,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.9,100,1.0999999999999996
prm,ec0088160,2022-02-03T00:00:00Z,jetzabeth molina,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,1,0,1,1,1 - 3 Years,2019-08-25T00:00:00Z,4,3,5,0,3,3,3,3,3,2,3,1,5,5,5,3.111111111111111,0,0,0.6000000000000001,0.6000000000000001,2.511111111111111,d2d4bb0f-47fa-4c41-af75-d3eac5ad6041,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-12T00:00:00Z,3.5,68,0.9888888888888889
hilton,ec0088260,2021-10-28T00:00:00Z,arelis torres,Femenino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,1,0,1,2,< 1 Year,2017-05-10T00:00:00Z,4,3,5,5,3,3,3,2,5,5,3,4,1,1,1,3.3,0,0,0,0,3.3,e3c6e84e-6793-4cdb-9d50-e44c38f2344f,NA,2,1,0,0.5,TRUE,2022-06-14T00:00:00Z,3.9,229,0.6000000000000001
hilton,ec0088756,2021-11-18T00:00:00Z,hector bravo mendoza,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,1,1 – 3 Years,2020-03-06T00:00:00Z,4,1,3,5,3,1,3,2,5,5,3,1,1,3,2,2.9,0.3,0.2,0,0.5,2.4,f65f60b6-73e9-4d9f-8755-0191609bc259,NA,2,1,0,0.5,TRUE,2022-06-20T00:00:00Z,3.6999999999999997,214,1.2999999999999998
hilton,ec0089355,2021-12-06T00:00:00Z,raul enrique calderon mero,Masculino,Presencial,Venezolana,Femenino,NA,Español,Pasaporte,Español,4,0,4,1,< 1 Year,2019-11-15T00:00:00Z,4,3,3,3,5,2,3,2,1,3,3,1,5,3,4,2.9,0.3,0.1,0.4,0.8,2.0999999999999996,2f8b8613-41aa-432d-938f-4682a631eb7d,NA,2,1,0,0.5,TRUE,2022-06-16T00:00:00Z,3.9,192,1.8000000000000003
prm,ec0090039,2022-01-31T00:00:00Z,cecilia aulestia,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,1,3 - 5 Years,2016-06-23T00:00:00Z,5,3,5,5,3,3,3,3,3,3,2,1,5,3,4,3.2,0,0,0.4,0.4,2.8000000000000003,42d34c10-59e6-4a8b-a4d4-362a40e2ffc1,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.733333333333333,94,0.9333333333333327
prm,ec0090191,2022-02-07T00:00:00Z,olga herrera,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,3,0,3,1,1 - 3 Years,2020-12-27T00:00:00Z,4,1,5,1,1,3,3,2,5,5,2,3,1,3,2,2.4,0,0,0,0,2.4,b823895a-0a23-4546-b7ff-7f8646311bce,MDG Regular,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.8000000000000003,70,1.4000000000000004
prm,ec0090226,2022-01-31T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Otro,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,0,0,0,1,< 1 Year,2022-01-31T00:00:00Z,5,3,3,0,1,3,3,2,1,5,3,1,1,5,3,2.4444444444444446,0.3,0,0,0.3,2.144444444444445,a68b42b3-a55d-4263-89e8-05df59c0fe34,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.4,95,1.255555555555555
prm,ec0090365,2022-02-03T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Ningún documento,Español,2,0,2,2,3 - 5 Years,2022-02-03T00:00:00Z,4,1,3,5,3,1,3,4,5,5,2,1,1,5,3,3.1,0.3,0.2,0,0.5,2.6,88adbd48-f98f-43a6-8574-cccf106849a3,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.6,91,1
hilton,ec0090451,2021-11-23T00:00:00Z,patricio jacome,Masculino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,< 1 Year,2019-12-17T00:00:00Z,5,3,5,0,3,3,3,3,3,3,3,3,5,5,5,3.4444444444444446,0,0,0.4,0.4,3.0444444444444447,9fa16689-7b89-43fe-b7fe-f99fd409626c,NA,2,1,0,0.5,TRUE,2022-05-09T00:00:00Z,3.3000000000000003,167,0.25555555555555554
prm,ec0090585,2022-01-28T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,0,0,0,2,1 - 3 Years,2022-01-28T00:00:00Z,5,3,3,0,1,1,3,3,5,5,3,1,1,5,3,3,0.3,0.2,0,0.5,2.5,f2dc084b-27d6-458e-99af-f597379e126f,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.65,98,1.15
prm,ec0090595,2022-01-13T00:00:00Z,kerly montero,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,"Cédula de identidad / ciudadanía Pasaporte Otras Visas (profesional, estudiante, etc)",Español,2,0,2,2,1 - 3 Years,2019-08-16T00:00:00Z,4,1,3,5,1,1,3,2,3,5,2,1,5,3,4,2.6,0.3,0.2,0,0.5,2.1,da907fb5-2717-4e28-9ad6-77ed79f25599,NA,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.4999999999999996,112,1.3999999999999995
prm,ec0090891,2022-02-02T00:00:00Z,jetzabeth molina,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía Visa de Protección Internacional,Español,3,0,3,1,< 1 Year,2021-04-01T00:00:00Z,4,1,5,5,3,3,3,2,3,2,3,1,5,5,5,3,0,0,0.6000000000000001,0.6000000000000001,2.4,bcab803f-57a4-4562-931a-4f0e0bbbe379,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-12T00:00:00Z,3.7,69,1.3000000000000003
hilton,ec0090951,2021-11-15T00:00:00Z,raul enrique calderon mero,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Visa de Unasur,Español,0,0,0,2,< 1 Year,2017-02-19T00:00:00Z,4,3,5,0,1,3,1,5,5,5,3,3,1,3,2,3,0,0,0,0,3,c532aff2-1d1e-40f2-8f4c-982fef66a632,NA,2,1,0,0.5,TRUE,2022-06-14T00:00:00Z,3.975,211,0.9750000000000001
hilton,ec0090953,2021-11-16T00:00:00Z,raul enrique calderon mero,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,1,1 – 3 Years,2019-08-17T00:00:00Z,4,3,5,5,3,1,1,4,5,5,2,3,1,3,2,3.2,0,0.2,0,0.2,3,f218d32b-5c24-41be-87a3-53e8970f1bd5,NA,2,1,0,0.5,TRUE,2022-06-16T00:00:00Z,3.1555555555555554,212,0.15555555555555545
prm,ec0090967,2022-02-10T00:00:00Z,hector bravo mendoza,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,0,2,2,1,> 5 Years,2017-01-29T00:00:00Z,3,0,3,0,3,2,3,2,3,5,5,1,5,3,4,3,0.3,0.1,0,0.4,2.6,b68814c9-ce0d-4b1c-8942-67878f6d6a05,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-27T00:00:00Z,3.025,76,0.4249999999999998
hilton,ec0090970,2021-11-15T00:00:00Z,raul enrique calderon mero,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,< 1 Year,2019-06-27T00:00:00Z,4,1,3,5,1,3,3,5,5,5,3,3,1,3,2,3.2,0.3,0,0,0.3,2.9000000000000004,fd24cadf-a75b-4a62-8b68-ee15e20e6c65,NA,2,1,0,0.5,TRUE,2022-06-20T00:00:00Z,3.6999999999999997,217,0.7999999999999994
hilton,ec0091183,2021-11-18T00:00:00Z,arelis torres,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,< 1 Year,2019-06-27T00:00:00Z,4,3,5,5,3,3,3,3,3,3,2,3,5,5,5,3.4,0,0,0.4,0.4,3,ec7516d7-e3e0-4da3-99a2-f061a9b661b0,NA,2,1,0,0.5,TRUE,2022-06-20T00:00:00Z,3.9,214,0.8999999999999999
hilton,ec0091188,2021-11-16T00:00:00Z,raul enrique calderon mero,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,< 1 Year,2018-08-18T00:00:00Z,4,1,3,3,5,3,3,2,5,5,2,1,1,5,3,2.9,0.3,0,0,0.3,2.6,f0152876-2549-4397-a78a-89a96f966734,NA,2,1,0,0.5,TRUE,2022-06-21T00:00:00Z,3.933333333333333,217,1.333333333333333
prm,ec0091199,2022-02-03T00:00:00Z,ivett vanessa ramos bosquez,Masculino,Vía telefónica,Colombiana,Masculino,NA,Español,Pasaporte Visa de Protección Internacional,Español,2,0,2,2,< 1 Year,2021-03-18T00:00:00Z,5,1,5,5,5,1,3,5,3,2,5,1,5,3,4,3.7,0,0.2,0.6000000000000001,0.8,2.9000000000000004,87c09c71-e0ce-45a9-9b4a-59b5ed5156dd,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-28T00:00:00Z,3.2888888888888888,84,0.3888888888888884
hilton,ec0091207,2021-10-28T00:00:00Z,raul enrique calderon mero,Masculino,Presencial,Venezolana,Femenino,NA,Español,Visa de excepción (VERHU),Español,1,0,1,1,1 – 3 Years,2017-10-20T00:00:00Z,4,1,5,5,3,3,3,2,5,5,2,1,1,5,3,2.9,0,0,0,0,2.9,b4b4aa00-39c1-45bb-b343-8e325338e880,NA,2,1,0,0.5,TRUE,2022-06-22T00:00:00Z,3.6,237,0.7000000000000002
prm,ec0091219,2022-02-22T00:00:00Z,amelia bone,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,1 - 3 Years,2020-09-16T00:00:00Z,4,3,5,5,0,3,5,2,3,3,3,1,1,3,2,3.111111111111111,0,0,0.4,0.4,2.7111111111111112,02648515-d105-4d4f-8069-cafd69f5bb25,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-19T00:00:00Z,3.1,56,0.38888888888888884
prm,ec0091245,2022-02-10T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,2,1 - 3 Years,2021-01-04T00:00:00Z,4,3,5,1,0,3,3,2,5,5,2,1,5,3,4,2.7777777777777777,0,0,0,0,2.7777777777777777,008b2cf3-03ea-4fcf-95ef-88364d739167,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.8000000000000003,67,1.0222222222222226
